ticker_byma,nombre_empresa,puntaje_financiero,n_metricas,pe,ev_ebitda,roe,deuda_ebitda,crecimiento_ingresos
NVS,Novartis Ag,48.28,5,20.72,13.1,0.3,2.12,0.01
SUZB3,Suzano S.A.,48.05,5,7.29,6.66,0.18,5.01,-0.13
SHOP,Shopify Inc.,48.05,5,87.02,67.2,0.16,0.07,0.34
NIO,NIO Inc.,48.04,4,,1.56,-0.45,8.5,0.69
CSCO,Cisco Systems Inc,47.99,5,33.67,24.53,0.27,1.67,0.18
HWM,Howmet Aerospace Inc.,47.9,5,49.48,34.24,0.35,1.67,0.24
XPEV,XPENG INC,47.83,3,,-6.7,-0.11,,0.08
TMUS,T-mobile,47.79,5,19.09,9.11,0.18,3.5,0.08
MMM,3M Company,47.45,5,29.3,14.33,0.82,2.03,0.02
GGB,Gerdau S.A.,47.29,5,22.39,2.0,0.04,1.52,0.02
NKE,Nike Inc.,47.12,5,17.52,11.48,0.22,2.24,-0.01
FMCC,Freddie Mac (Federal Home Loan),46.93,3,inf,,0.18,,0.34
SE,Sea Ltd.,46.91,5,41.02,23.39,0.15,1.54,0.48
VALE,Vale S.A.,46.79,5,30.46,1.94,0.04,1.42,0.06
MSI,"Motorola Solutions, Inc.",46.58,5,36.76,22.9,0.92,2.56,0.13
RACE,Ferrari,46.29,5,38.31,30.17,0.45,1.28,0.08
VZ,Verizon Communications Inc.,46.26,5,13.18,7.9,0.16,3.79,-0.01
JNJ,Johnson & Johnson,45.87,5,30.88,19.16,0.26,1.41,0.07
BABA,Alibaba Group Holding Limited,45.61,5,24.67,2.02,0.06,2.68,0.09
VALE3,Vale S.A.,45.24,5,30.67,5.4,0.04,1.42,0.06
BBAS3,Banco do Brasil S.A.,44.84,3,10.46,,0.11,,0.0
CX,Cemex S.A.B. de CV,44.41,5,30.54,6.82,0.04,2.12,0.12
CEG,CONSTELLATION ENERGY CORPORATION,44.1,5,27.86,15.75,0.15,3.11,0.23
MSTR,Microstrategy Inc Cl A New,43.86,3,,-1.9,-0.64,,0.07
DOCU,DocuSign Inc.,43.69,5,40.03,26.44,0.18,0.41,0.09
MDT,Medtronic Public Limited Company,43.61,5,22.4,13.1,0.11,2.7,0.14
ADI,Analog Devices,43.57,5,45.04,27.5,0.12,1.32,0.4
MELI,Mercadolibre Inc.,43.54,5,51.54,26.63,0.28,3.39,0.5
UL,Unilever PLC - Sponsored,43.44,5,20.95,14.88,0.32,2.95,0.0
AMD,"Advanced Micro Devices, Inc.",43.35,5,131.67,87.19,0.1,0.45,0.5
SAP,Sap Se,43.21,5,26.52,285.16,0.18,0.85,0.09
EOAN,E.On Se,43.2,5,13.67,9.18,0.16,4.3,-0.0
CRM,Salesforce Inc.,43.12,5,22.68,18.21,0.19,3.29,0.11
KO,The Coca Cola Company,43.0,5,26.51,24.12,0.42,2.6,0.07
EA,Electronic Arts Inc,42.86,5,59.74,30.36,0.16,1.08,0.19
SPGI,S&P Global Inc,42.83,5,25.0,16.93,0.14,1.93,0.1
VST,VISTRA CORPORATION,42.76,5,24.98,10.89,0.43,3.09,-0.06
MUX,McEwen Mining Inc,42.65,5,15.5,43.21,0.14,4.49,0.27
PBI,Pitney Bowes Inc,42.58,4,13.76,8.04,,4.11,-0.02
WEGE3,Weg S.A.,42.36,5,34.56,25.25,0.31,0.69,-0.01
DISN,The Walt Disney Co.,41.95,5,21.97,11.05,0.08,2.2,0.07
BAS,Basf SE,41.89,5,21.78,9.87,0.06,4.06,0.16
ROKU,Roku,41.53,5,65.93,36.12,0.13,0.82,0.22
ARM,ARM Holdings Plc,40.95,5,270.19,262.66,0.13,0.46,0.22
SLB,Schlumberger Ltd,40.58,5,27.35,12.61,0.13,1.74,0.05
MRVL,Marvell Technology Inc,40.54,5,78.18,73.11,0.17,1.85,0.36
MRNA,Moderna Inc,40.5,3,,-24.43,-0.39,,0.02
AAL,American Airlines Group Inc,40.16,3,,10.67,,10.6,0.16
AEG,Aegon N.V.,39.97,3,11.92,,0.11,,-0.08
IBM,International Business Machines,39.91,5,21.61,17.39,0.34,3.96,0.01
EFX,Equifax Inc.,39.9,5,29.65,13.14,0.14,2.84,0.11
WMT,Walmart Inc.,39.82,5,38.82,20.88,0.22,1.7,0.06
PAC,"Grupo Aeroportuario del Pacifico, S.A.B. de C.V.",39.18,5,18.61,80.13,0.28,2.89,0.04
BKR,Baker Hughes Co,38.88,5,18.99,11.99,0.16,3.36,-0.02
TWLO,Twilio Inc,38.83,5,31.45,66.68,0.13,2.13,0.22
DOW,DOW Inc,38.6,4,,9.51,-0.06,4.9,0.2
GILD,"Gilead Sciences, Inc.",38.58,4,,13.66,-0.21,1.8,0.1
FCX,Freeport Mcmoran Copper & Gold Inc.,38.43,5,34.84,12.61,0.15,1.08,-0.07
JD,"Jd.Com, Inc.",38.05,5,18.04,-1.36,0.07,8.93,-0.03
RTX,Raytheon Technologies Corp,37.41,5,34.86,18.8,0.12,2.44,0.14
ISRG,Intuitive Surgical inc,37.07,4,42.38,29.98,0.17,,0.18
HMC,Honda Motor Co. Ltd,37.01,4,,7.16,-0.01,11.21,0.14
ORLY,O'reilly Automotive Inc,36.91,4,27.24,18.89,,2.3,0.08
PM,Philip Morris International,36.89,4,26.24,19.03,,2.73,0.1
PHG,Koninklijke Philips N.V.,36.78,5,18.49,12.31,0.1,3.09,0.0
ECL,Ecolab Inc,36.46,5,37.02,20.85,0.22,3.37,0.1
MBG,Mercedes-Benz Group AG,36.37,5,8.84,10.82,0.06,8.52,-0.03
BSN,Danone,36.08,5,20.36,10.8,0.12,3.86,0.01
XROX,Xerox Holding Corporation,35.9,4,,8.62,-0.97,8.26,0.22
GLW,Corning Inc.,35.34,5,77.04,36.91,0.17,2.3,0.17
CAH,Cardinal Health Inc,35.17,4,32.49,14.1,,2.36,0.06
ABT,Abbott Labs,34.97,5,32.99,17.48,0.11,2.8,0.13
UNH,UnitedHealth Group Inc.,34.93,5,24.39,14.6,0.14,2.75,0.0
JCI,Johnson Controls International,34.64,5,41.13,22.5,0.14,2.19,0.09
MCD,Mcdonald'S Corp.,33.81,4,20.58,15.57,,3.66,0.04
TSLA,"Tesla, Inc.",33.79,5,332.22,131.71,0.05,1.5,0.26
HOG,Harley-Davidson Inc.,33.69,5,15.48,9.22,0.06,5.4,-0.06
PFE,Pfizer Inc.,33.58,5,36.47,8.28,0.05,2.5,0.03
MDLZ,Mondelez,33.36,5,22.87,16.46,0.13,3.63,0.04
PANW,Palo Alto Networks Inc,33.07,5,826.62,173.06,0.02,1.65,0.34
INTC,Intel Corporation,32.97,4,,32.99,-0.11,3.0,0.25
TEAM,ATLASSIAN CORPORATION,32.89,4,,104.22,-0.04,2.83,0.28
CVS,CVS Health,32.88,5,24.98,11.01,0.06,4.57,0.07
IP,International Paper Co.,32.87,4,,6.96,-0.16,2.52,-0.02
VRSN,"Verisign, Inc.",32.87,4,31.75,23.39,,1.97,0.06
NOW,SERVICENOW INC,32.8,5,82.83,48.6,0.14,2.92,0.24
KEEL,Bitfarms Ltd.,32.68,3,,-43.33,-0.76,,-0.5
ABBV,AbbVie Inc.,32.38,4,72.02,16.86,,2.3,0.1
BB,Blackberry Limited,32.32,5,76.7,46.94,0.08,2.38,0.26
AI,C3.AI INC,32.26,3,,-2.47,-0.6,,-0.26
SWKS,Skyworks Solutions,32.09,5,45.78,14.97,0.05,0.77,-0.03
TMO,Thermo Fisher Scientific Inc.,31.98,5,32.79,22.5,0.14,3.62,0.1
SDA,SunCar Technology Group Inc,31.61,5,inf,11.56,0.03,5.95,0.28
PSO,Pearson Plc,31.47,5,23.07,18.39,0.09,2.92,0.03
BIDU,"Baidu, Inc.",31.45,4,,0.04,-0.01,4.83,-0.04
SPCE,Virgin Galactic,31.14,3,,-1.85,-0.75,,-0.67
SID,Companhia Siderúrgica Nacional,31.06,4,,6.1,-0.12,7.37,0.06
CRWV,CoreWeave Inc,31.02,4,,25.11,-0.44,13.62,1.12
MRK,Merck & Co. Inc.,30.9,5,115.14,13.92,0.07,1.87,0.05
TIIAY,Telecom Italia S.P.A. Ordinary Shares,30.57,5,49.44,8.4,0.04,3.61,0.06
DD,Dupont de Nemours Inc.,30.57,5,54.74,11.81,0.02,2.01,0.04
CSNA3,Companhia Siderúrgica Nacional S.A.,30.53,4,,7.07,-0.12,7.37,0.06
TV,Grupo Televisa S.A.,30.42,4,,2.6,-0.08,3.99,-0.03
SIEGY,Siemens Ag Adr,29.92,5,26.31,22.63,0.12,3.99,0.07
BAYN,Bayer AG,29.81,4,,7.97,-0.06,3.79,0.01
BIIB,Biogen Inc.,29.78,5,38.64,11.66,0.05,2.49,0.03
FNMA,"Fed. Natl, Mortgage - Fannie Mae",29.24,3,143.5,,0.14,,0.09
ETSY,Etsy Inc.,29.03,4,23.03,18.33,,6.53,0.06
AAP,Advanced Auto Parts Inc,27.93,5,24.96,8.28,0.05,8.95,-0.0
MOS,The Mosaic Co,27.67,4,,8.12,-0.05,3.54,-0.06
UPST,Upstart Hldgs Inc,27.33,5,49.21,35.55,0.08,17.88,0.42
PINS,Pinterest,26.32,5,56.03,33.83,0.06,3.78,0.18
IFF,International Flavors & Fragrances Inc.,26.09,4,,14.17,-0.06,3.29,0.02
PCAR,Paccar Inc.,25.65,5,25.84,21.62,0.13,4.53,0.0
DHR,Danaher Corp,25.53,5,35.74,20.45,0.08,3.47,0.06
NGG,National Grid Plc,25.02,5,17.35,71.73,0.08,6.79,0.02
NATU3,NATURA COSMETICOS SA,24.35,4,,9.28,-0.02,3.96,-0.08
DEO,Diageo PLC,23.85,5,27.77,138.51,0.15,3.45,-0.02
VOD,Vodafone Group Plc,23.07,3,,13.85,0.0,6.08,
GM,General Motors Co,22.81,5,38.39,10.98,0.03,7.82,0.02
MGLU3,Magazine Luiza S.A.,22.81,5,52.36,7.76,0.01,5.88,-0.03
DE,Deere & Co.,21.14,5,37.6,25.8,0.18,5.64,-0.11
TRIP,"Tripadvisor, Inc.",20.88,4,,10.15,-0.0,8.13,-0.07
GT,Goodyear Tire & Rubber co./the,18.33,4,,9.23,-0.62,8.36,-0.05
XYZ,Square Inc.,18.24,5,141.45,31.0,0.02,4.63,0.09
SBUX,Starbucks Corporation,14.76,4,57.08,23.29,,3.98,-0.01
CAR,Avis Budget Group Inc.,12.68,3,,21.46,,18.92,-0.01
F,Ford Motor Company,8.48,4,,25.76,-0.18,21.37,-0.04
BIOX,Bioceres Crop Solutions Corp.,7.66,4,,23.59,-0.19,20.24,-0.36
LND,Brasilagro - Co Brasileira de Propriedades Agrícolas,5.99,4,,60.72,-0.04,53.78,-0.15
COIN,Coinbase Global Inc,5.94,4,,63.07,-0.08,9.53,-0.17
IREN,Iren Ltd,2.45,4,,501.1,-0.23,204.44,-0.27
